unique_key,created_date,complaint_type,latitude,longitude,borough
REAL_Upper_East_Side_0_1766294704,2025-12-21 00:25:04,Water System,40.76949152774226,-73.96369795373269,MANHATTAN
REAL_Woodside_63_1766294704,2025-12-21 00:25:04,Other,40.74703497361766,-73.91027743485044,QUEENS
REAL_Jackson_Heights_18_1766294704,2025-12-21 00:25:04,Derelict Vehicle,40.75346126742839,-73.8830246788303,QUEENS
REAL_Jackson_Heights_40_1766294704,2025-12-21 00:25:04,Noise - Residential,40.74553738482027,-73.88816022241475,QUEENS
REAL_Jackson_Heights_51_1766294704,2025-12-21 00:25:04,Rodent,40.7446213993999,-73.87539329545461,QUEENS
REAL_Jackson_Heights_63_1766294704,2025-12-21 00:25:04,Illegal Parking,40.75552799736077,-73.88488077420725,QUEENS
REAL_Jackson_Heights_79_1766294704,2025-12-21 00:25:04,Noise - Residential,40.763082801191075,-73.87860052758091,QUEENS
REAL_Jackson_Heights_98_1766294704,2025-12-21 00:25:04,Homeless Person Assistance,40.74927972185809,-73.88803508200184,QUEENS
REAL_Woodside_33_1766294704,2025-12-21 00:25:04,Sanitation Condition,40.736976361687056,-73.89536127640888,QUEENS
REAL_Woodside_64_1766294704,2025-12-21 00:25:04,Noise - Street/Sidewalk,40.745801962629315,-73.91435435254346,QUEENS
REAL_Pelham_Bay_41_1766294704,2025-12-21 00:25:04,Street Condition,40.85543485759031,-73.82498236969842,BRONX
REAL_Woodside_67_1766294704,2025-12-21 00:25:04,Sanitation Condition,40.742659445732286,-73.9155816512171,QUEENS
REAL_Jamaica_12_1766294704,2025-12-21 00:25:04,Heat/Hot Water,40.694483372035684,-73.78426277805545,QUEENS
REAL_Jamaica_24_1766294704,2025-12-21 00:25:04,Graffiti,40.7121699883707,-73.79140127278761,QUEENS
REAL_Jamaica_32_1766294704,2025-12-21 00:25:04,Heat/Hot Water,40.68278664550772,-73.77927357132859,QUEENS
REAL_Jamaica_88_1766294704,2025-12-21 00:25:04,Noise - Street/Sidewalk,40.70026544944288,-73.79681875209839,QUEENS
REAL_Chelsea_19_1766294704,2025-12-21 00:25:04,Heat/Hot Water,40.740523831115944,-73.99651902212159,MANHATTAN
REAL_Jamaica_174_1766294704,2025-12-21 00:25:04,Street Condition,40.70334232235741,-73.78647568653217,QUEENS
REAL_Jackson_Heights_11_1766294704,2025-12-21 00:25:04,General Construction,40.75601478926213,-73.88819719179556,QUEENS
REAL_Jackson_Heights_3_1766294704,2025-12-21 00:25:04,Street Light Condition,40.74911991687867,-73.8881614597392,QUEENS
REAL_Chelsea_67_1766294704,2025-12-21 00:25:04,Other,40.740325593730084,-74.00929738993321,MANHATTAN
REAL_Forest_Hills_64_1766294704,2025-12-21 00:25:04,Illegal Parking,40.728061142742455,-73.84007759517398,QUEENS
REAL_Long_Island_City_3_1766294704,2025-12-21 00:25:04,Illegal Parking,40.763664488029136,-73.94969785346869,QUEENS
REAL_Long_Island_City_5_1766294704,2025-12-21 00:25:04,Street Condition,40.738886703994694,-73.94294083211263,QUEENS
REAL_Long_Island_City_12_1766294704,2025-12-21 00:25:04,Traffic Signal Condition,40.74053010924734,-73.94076505505652,QUEENS
REAL_Long_Island_City_79_1766294704,2025-12-21 00:25:04,Noise - Residential,40.74836400602797,-73.95056266084337,QUEENS
REAL_Chelsea_97_1766294704,2025-12-21 00:25:04,Street Light Condition,40.74023399179113,-74.00639276997744,MANHATTAN
REAL_Long_Island_City_89_1766294704,2025-12-21 00:25:04,Heat/Hot Water,40.75101499071277,-73.94302227300115,QUEENS
REAL_Long_Island_City_110_1766294704,2025-12-21 00:25:04,Noise - Commercial,40.73517692773713,-73.94722923488422,QUEENS
REAL_Flushing_27_1766294704,2025-12-21 00:25:04,Heat/Hot Water,40.77051226771465,-73.8373508406005,QUEENS
REAL_Flushing_31_1766294704,2025-12-21 00:25:04,Street Condition,40.765283475301096,-73.82353716708519,QUEENS
REAL_Flushing_41_1766294704,2025-12-21 00:25:04,Illegal Parking,40.769812372738585,-73.82583985023945,QUEENS
REAL_Flushing_77_1766294704,2025-12-21 00:25:04,Street Condition,40.764976695284,-73.82255412596967,QUEENS
REAL_Flushing_112_1766294704,2025-12-21 00:25:04,Graffiti,40.76072745437789,-73.83085308036567,QUEENS
REAL_Forest_Hills_13_1766294704,2025-12-21 00:25:04,Water System,40.698998218625135,-73.85153923980488,QUEENS
REAL_Forest_Hills_39_1766294704,2025-12-21 00:25:04,Sanitation Condition,40.72271024990591,-73.841130097019,QUEENS
REAL_Forest_Hills_52_1766294704,2025-12-21 00:25:04,Street Condition,40.704822129874856,-73.84299012611405,QUEENS
REAL_Jamaica_178_1766294704,2025-12-21 00:25:04,Noise - Residential,40.70503344218801,-73.79697887043149,QUEENS
REAL_Jamaica_182_1766294704,2025-12-21 00:25:04,Homeless Person Assistance,40.70673497555429,-73.79281636840439,QUEENS
REAL_Rockaway_Beach_39_1766294704,2025-12-21 00:25:04,Rodent,40.58449539031039,-73.81747838193282,QUEENS
REAL_Mott_Haven_114_1766294704,2025-12-21 00:25:04,Heat/Hot Water,40.81118265080179,-73.92117764013301,BRONX
REAL_Mott_Haven_155_1766294704,2025-12-21 00:25:04,Blocked Driveway,40.79039741440047,-73.91764435288577,BRONX
REAL_Midtown_90_1766294704,2025-12-21 00:25:04,Blocked Driveway,40.7697928310411,-73.9890730655818,MANHATTAN
REAL_Mott_Haven_204_1766294704,2025-12-21 00:25:04,Blocked Driveway,40.818493104970266,-73.92651798103664,BRONX
REAL_Midtown_80_1766294704,2025-12-21 00:25:04,Street Light Condition,40.754553775665975,-73.97826110732561,MANHATTAN
REAL_Midtown_79_1766294704,2025-12-21 00:25:04,Blocked Driveway,40.764226071504275,-73.99522249345735,MANHATTAN
REAL_Hunts_Point_74_1766294704,2025-12-21 00:25:04,Traffic Signal Condition,40.810380893692866,-73.89614497279712,BRONX
REAL_Hunts_Point_76_1766294704,2025-12-21 00:25:04,Noise - Residential,40.82721325039809,-73.88897867768819,BRONX
REAL_Midtown_66_1766294704,2025-12-21 00:25:04,Blocked Driveway,40.75687444037276,-73.97422238955276,MANHATTAN
REAL_Hunts_Point_94_1766294704,2025-12-21 00:25:04,Traffic Signal Condition,40.81059770642458,-73.88944837483885,BRONX
REAL_Hunts_Point_107_1766294704,2025-12-21 00:25:04,Noise - Residential,40.80418618153128,-73.87493824890313,BRONX
REAL_Hunts_Point_118_1766294704,2025-12-21 00:25:04,Noise - Street/Sidewalk,40.80866669675684,-73.90328285500796,BRONX
REAL_Belmont_31_1766294704,2025-12-21 00:25:04,Street Condition,40.853098951559154,-73.89248282192308,BRONX
REAL_Belmont_69_1766294704,2025-12-21 00:25:04,Noise - Commercial,40.84948917542096,-73.89294426757142,BRONX
